-256,1160,14764
364,1048,16304
312,120,16748
180,76,15608
52,-144,15064
208,596,14528
548,716,15400
328,780,15292
336,1292,14524
344,1964,14044
512,2764,14284
332,2724,14188
92,3080,13660
132,2976,13916
136,2460,14116
-200,2156,13688
-40,1988,13932
32,1380,14092
24,456,14092
-384,-408,13760
-840,-264,13156
-556,-312,13256
-696,-920,14060
116,-1060,16216
-60,-136,15996
-512,-492,15824
-352,-1216,16328
-280,-1432,15724
-532,-1600,14704
-812,-1684,14604
-568,-980,14684
-840,-1068,14452
-1136,-1036,13832
-1120,-428,14224
-1308,-2756,16164
-896,-3528,15220
-816,-128,15248
-952,-316,14440
-684,-1216,15652
856,444,16192
-1368,-2560,15712
-836,-1492,14508
3596,-3324,12640
-1876,588,15720
204,1464,15824
716,1080,16256
1000,1412,16068
932,584,15544
432,556,14608
560,1380,13976
624,972,14204
832,1300,14780
1048,1792,15408
1084,900,15336
700,1952,15372
-1516,4100,11344
112,1256,13864
980,988,15216
576,1268,14420
672,1796,14520
908,1324,15380
592,-620,16148
1064,1376,16020
1288,1992,15652
1088,2356,15216
1028,1456,14940
1120,1284,15004
1380,3036,14644
1344,3012,14472
1860,3048,15256
1616,2268,15656
1512,1344,14956
1648,2876,14640
1920,3080,14900
2196,2576,15196
2256,2036,16148
1864,2108,15332
1888,2796,15360
1780,3000,14340
1332,2924,12972
1904,3064,13352
1224,3740,13224
2264,2740,13832
2080,3568,14788
1988,3876,14828
1740,2324,15228
1528,1228,14516
1116,1172,13600
676,580,13360
640,184,13584
980,1064,15072
772,-64,15884
364,784,15684
300,2284,15892
820,1604,16896
676,564,17244
464,352,16996
-372,-388,14484
-360,-100,13260
-16,-1468,14592
-648,-3592,15064
-948,-4992,14916
-624,-3384,15416
124,-3336,17488
