644,2932,14712
1192,3240,15932
820,3884,15884
420,4364,15680
272,5208,15448
92,5724,15000
164,5596,15120
-68,6096,15464
-804,6696,14356
-632,6256,14996
-1448,5108,13868
-1956,3888,14312
-2436,2008,14124
-2940,1016,13428
-3648,244,13368
-3076,-656,14104
-2380,-2520,15376
-2628,-1884,15064
-2736,-2948,15032
-2684,-5160,16400
-2628,-3288,15624
-2764,-2516,14940
-2292,-1260,15416
-2084,-1616,15456
-2088,-2840,15324
-3308,-5280,13248
-1108,-4548,15020
-1388,-2828,14480
-1304,-3932,14336
-1900,-4824,13168
-1556,-4028,13244
-1212,-2992,13816
-1476,-2992,13888
-1324,-3264,14572
-1512,-4844,15320
-1232,-4000,15408
-1440,-3448,14960
-1696,-4512,14276
-2044,-4280,13416
-1868,-3624,13904
-1580,-2952,14664
-456,-4436,14132
-1752,-5160,14976
-1604,-4748,15296
-1688,-2268,15400
184,-1348,16516
-984,-1588,15508
-2584,-3336,13552
-412,-1800,14008
-2588,-924,14004
-340,-1284,15788
-2564,2248,13372
-1864,-1480,14504
1076,-2548,16400
-1188,892,15496
-1428,764,15316
-1960,1744,14672
-964,1700,16408
-1792,1228,16120
-1456,1056,16232
-1892,1876,14956
-2972,900,14584
-1612,864,14588
-1464,1584,14884
-1432,3000,15604
-1680,2632,15824
-1584,2412,14612
-980,2168,14436
-584,2504,14892
-1080,2208,13744
-968,1632,13756
-820,4052,14344
-1108,3656,14472
-1292,3416,14996
-120,5200,16056
232,3852,15896
-868,3492,14224
-48,4408,13824
72,2724,13324
652,2504,14268
476,5728,14716
360,4544,14524
676,4020,14312
844,3352,15192
1052,1620,16244
1520,1536,16156
960,3784,15040
804,3576,14644
372,3144,13616
608,2812,13152
-108,3360,12612
460,3068,13332
252,3080,13944
740,3732,14440
296,1636,14876
-604,-456,14780
68,1392,15492
288,1172,16064
712,896,16128
28,1640,14928
-280,-448,15012
-680,-1464,14212
-484,-1696,14876
252,-1024,15592
60,-832,15460
-44,-92,15136
252,504,15076
-8,-1460,15664
-796,-2584,15196
-332,-1060,15148
-36,-36,16192
-340,-3000,16740
-724,-4100,14960
-776,-5052,15404
-532,-6296,15372
-492,-3964,14596
-248,-2896,14256
328,-3688,15120
908,-6536,15868
-96,-5136,15748
-1956,-3864,14032
128,-3840,15888
-496,-4088,15280
-96,-4980,15828
