ax,ay,az
-1280,-932,13536
-1952,-136,13792
-1080,-1328,14848
-1312,-1244,15344
-1552,-568,15884
-888,-1292,15588
-1140,-976,15516
-1132,-640,16248
-1288,-668,16536
-840,-76,16320
-948,1180,15536
-868,972,14596
-1376,260,14248
-904,-612,14188
-780,-680,13848
-1232,1152,13516
-1136,856,15912
-1240,-1100,16152
-1884,-340,15088
-3196,-796,14976
-3612,-1848,15852
412,-116,17932
-1588,-32,15436
-2264,-1108,15056
-2892,-3544,13960
-1124,-8640,15880
-2432,532,14628
-2160,216,15000
-1268,-1672,15828
-2424,-2908,14688
-492,1612,15364
-828,-1132,15736
-2104,-1136,14060
912,-1232,16464
976,-4464,16816
2016,-2404,17912
-3236,-5496,14368
-3368,-3596,14240
-3240,-2376,15320
-2196,-2116,16152
-2292,-2136,15328
-2184,-1864,14112
-2500,-2292,13032
-1644,-2096,14432
-748,-624,16240
-864,324,16020
-708,-1612,15664
-776,-1400,14812
404,-1844,15676
532,52,14504
1948,1128,14452
2384,680,15044
2312,-60,15356
3116,-1028,16080
3268,812,14244
1764,3812,15792
3244,540,15920
2236,480,15232
676,-784,14932
1408,-1472,15060
1496,440,15376
720,992,15120
-232,400,13444
-1792,-1200,14112
-1460,-1304,15016
-1812,240,15184
-1796,900,15160
-3108,676,14360
-3556,-848,14148
-2580,-1792,15344
-2560,-1620,15960
-2132,-1044,15956
-2076,68,14676
-1880,64,15012
-1636,-1940,15324
-1724,-1268,15548
-1272,-652,15440
-1320,-636,15216
-1256,-712,15292
-1380,-1300,15088
-1640,-1416,15892
-1072,-1084,16172
-696,-624,15268
-952,-48,15060
-960,-916,15968
-1436,-1868,15952
-1172,-1212,14816
40,368,14900
-204,144,14036
-288,-1264,13348
440,-496,13100
224,416,13024
848,32,14284
1364,32,15184
816,16,14712
796,-336,14748
1668,-312,16032
2024,192,16212
1816,784,16212
1664,796,16216
1456,124,15856
1212,-208,15868
1532,-912,16720
1208,8,16024
