-1280,1212,14796
-568,3180,14644
220,3068,15224
-988,928,14404
-1008,-36,14260
-616,-1216,15100
-556,788,14724
-900,1392,14872
-300,220,15364
-304,360,16456
-1256,432,16144
-1504,-312,15160
-836,-20,14884
-416,936,15792
-768,1168,14904
-944,96,14508
-1076,36,13872
-936,-116,14636
-972,1740,15680
-588,2716,15424
-668,2536,14460
-644,1520,14332
-708,1484,14828
-588,1148,14880
-640,816,15232
-144,952,15860
432,1696,17436
-700,-176,15500
-1116,860,14444
-1144,1392,13868
120,1604,15740
112,1132,15568
-428,1064,14732
-776,2324,14552
-272,2348,14932
-80,1448,15000
-276,1976,14912
-752,1284,13404
-872,3120,13564
-716,4700,14448
-508,4252,16248
-688,3904,15960
640,3600,14848
-616,1596,14256
20,1532,13716
-500,3500,13048
332,5516,13764
436,5516,13204
-656,4328,14200
-632,3208,14928
-40,3880,16240
844,5936,17748
-476,6964,16652
128,6320,14996
572,4604,14252
-904,4956,12288
-704,5184,12856
-480,4956,14008
-272,5048,13728
-304,5196,14352
756,4924,15480
-132,3648,15496
-220,3156,15112
-324,5160,13932
-312,5040,14224
-1624,4344,14416
-1420,4164,13644
-944,3124,13700
-1192,3124,14056
-1276,2520,15612
-1948,2872,14756
-2092,3056,13560
-1528,2864,14576
-2496,1676,15688
-2472,880,15260
-2572,1248,14868
-2308,3180,14612
-2004,3336,15096
-3284,1720,14932
-3200,60,14932
-2756,708,15364
-2448,1688,15148
-2472,1948,15048
-2352,1920,15048
-2576,2108,14448
-2152,2176,14092
-2164,2824,14348
-2176,2528,14560
-2388,2276,15112
-2424,2492,15024
-2124,3272,15104
-1692,3644,14864
-1520,3204,14392
-1612,2940,14452
-2168,3416,13664
-2300,3592,13576
-1860,3452,13756
-1568,3664,14600
-1132,3812,15584
-1820,4512,15048
-1300,4096,15852
-1112,4484,15276
-1760,4384,14284
-1904,3452,14464
-1968,3376,14476
-1440,3796,14984
-2008,3488,14868
-1880,3736,14720
-1720,3656,14640
-1528,2532,14732
-2508,2068,14212
-2268,2900,14372
-2064,3580,14392
-1244,3880,14724
-2160,3384,14048
-2232,2344,14236
-1428,3324,14952
-884,4444,15116
-888,4812,15048
-1280,3056,14568
-1784,1516,13944
-1420,3544,13100
-872,6404,13220
324,6616,14128
-772,5684,14676
-540,5248,15020
-856,5424,14852
-720,5400,14984
-832,5432,14808
-1060,4464,14672
-1216,3376,14772
-1204,2812,14744
