ax,ay,az
-472,-1296,14872
-260,-1788,15304
-168,-1788,15148
-236,-1280,14936
-516,-2140,14636
-324,-1760,14752
-112,-1524,14772
16,-1588,14924
96,-1668,14824
36,-2228,14452
-56,-2512,15160
-280,-2596,15368
-1020,-3024,15848
-564,-3748,15440
-1284,-4936,14400
-504,-5092,15452
-632,-2604,16628
-1176,-4236,14472
-1288,-2768,14024
-1416,-2564,14688
1004,1188,17200
-384,-344,15024
116,-1448,14472
760,-1192,15104
312,-16,14312
608,676,14072
744,924,13700
-804,-2296,12024
136,-228,12516
400,620,12788
120,-848,13968
1304,780,16756
1292,-836,16404
440,-1648,15092
-140,-2296,15616
248,-2112,16100
-72,-1732,15224
52,-1276,15180
160,-752,15736
-1044,-2056,15072
-1384,-3132,15076
-584,-2412,14792
-836,-1520,15196
-1760,-1312,14092
-432,-2672,15592
-1452,-1936,15276
-324,-2584,15932
-1460,-1436,14524
-1272,-1012,15068
-1488,-1196,15452
-2192,232,14420
-1004,584,15500
-2240,-32,14912
-2152,-1688,14692
-2224,-1612,15060
-2276,-2100,14800
-1968,-1776,15220
-2892,-2304,13940
-3124,-2636,14644
-2720,-3116,15336
-3016,-3348,14212
-3120,-2968,14300
-3112,-2956,14960
-2464,-2132,15284
-2516,-1328,15164
-2560,-1284,15048
-2172,-844,14808
-1428,-896,15028
-1812,-720,15308
-1476,336,15956
-1748,320,16004
-1812,76,15696
-1820,-100,15520
-1192,80,15572
-1940,-336,14464
-1820,152,14312
-1368,648,14816
-1900,368,14420
-1684,12,14640
-1628,-468,14448
-1840,136,14572
-1324,1052,14948
-1548,1044,15240
-968,648,15376
-1184,860,14548
-1872,-32,13548
-2264,-588,14348
-1572,840,15488
-2272,568,15556
-1988,-612,15556
-1864,-272,15988
-1032,772,15804
-1700,984,14788
-2116,-768,14260
-2072,-412,14476
-1072,1260,15744
-528,2156,16036
-1572,2260,14520
-952,1692,13140
-948,3152,12916
-588,4124,13284
-1048,3672,14000
-968,2244,17352
-1768,1252,17128
-1536,292,17124
